Community Name,Low Income Index,Seniors Index,Rent Index,Public Transit Index,Total Community Index,Standardized Total Community Index
Abbeydale,177.5,151.25,23.5125,65.0,417.2625,0.1349147910888578
Acadia,306.25,461.25,187.65,102.5,1057.65,0.34448453313043553
Albert Park/Radisson Heights,291.25,188.75,154.70000000000002,102.5,737.2,0.23961580312364497
Altadore,90.0,158.75,71.77499999999999,30.0,350.525,0.11307463858822374
Applewood Park,178.75,185.0,81.8625,80.0,525.6125,0.17037282477971674
Arbour Lake,176.25,503.75,38.1375,67.5,785.6375,0.25546719681908553
Aspen Woods,160.0,135.0,40.3,31.25,366.55,0.11831889322501207
Auburn Bay,237.5,238.75,131.32500000000002,62.5,670.075,0.2176488394734474
Banff Trail,115.0,828.75,64.80000000000001,63.75,1072.3,0.3492788127203855
Bankview,236.25,92.5,211.825,67.5,608.075,0.19735905554328353
Bayview,0.0,46.25,0.0,2.5,48.75,0.014317387853946281
Beddington Heights,267.5,412.5,84.35000000000001,80.0,844.35,0.2746811313190814
Bel-Aire,0.0,22.5,0.0,0.0,22.5,0.0057269551415785125
Belmont,0.0,5.0,0.0,6.25,11.25,0.002045341121992326
Beltline,1027.5,511.25,1171.975,350.0,3060.725,1.0
Bonavista Downs,21.25,37.5,3.75,2.5,65.0,0.01963527477112633
Bowness,371.25,410.0,228.95,82.5,1092.7,0.35595480614256847
Braeside,125.0,262.5,45.725,42.5,475.725,0.15404691194397402
Brentwood,243.75,255.0,162.14999999999998,85.0,745.9,0.24246291796545827
Bridgeland/Riverside,251.25,212.5,181.925,67.5,713.175,0.23175351185070645
Bridlewood,186.25,271.25,61.6,131.25,650.35,0.2111937428924396
Britannia,0.0,40.0,6.3,0.0,46.3,0.01351561413412529
Cambrian Heights,38.75,90.0,24.0,20.0,172.75,0.054896955714274026
Canyon Meadows,128.75,347.5,54.400000000000006,63.75,594.4,0.1928838491683643
Capitol Hill,166.25,108.75,115.9,61.25,452.15,0.14633188523181895
Carrington,23.75,13.75,4.95,12.5,54.95,0.01634636624696267
Castleridge,171.25,168.75,33.925000000000004,86.25,460.175,0.14895810323245712
Cedarbrae,135.0,286.25,53.2,32.5,506.95,0.16426543618944767
Chaparral,132.5,297.5,28.5,50.0,508.5,0.16477268078770177
Charleswood,45.0,177.5,30.0,26.25,278.75,0.08958594114326388
Chinatown,152.5,161.25,107.0,35.0,455.75,0.14751000171808654
Chinook Park,26.25,87.5,9.975,8.75,132.475,0.04171677752415548
Christie Park,17.5,118.75,6.25,12.5,155.0,0.04908818692781582
Citadel,177.5,261.25,36.300000000000004,67.5,542.55,0.17591569922031594
Cityscape,88.75,62.5,12.6,56.25,220.1,0.07039246005448789
Cliff Bungalow,60.0,42.5,80.4375,13.75,196.6875,0.06273061221150464
Coach Hill,67.5,201.25,18.487499999999997,11.25,298.4875,0.09604512840651565
Collingwood,62.5,86.25,23.0,15.0,186.75,0.05947851982753684
Copperfield,191.25,148.75,72.5,73.75,486.25,0.1574912663934091
Coral Springs,82.5,231.25,14.85,35.0,363.6,0.1173534922154317
Cornerstone,98.75,50.0,26.35,51.25,226.35,0.07243780117648022
Cougar Ridge,96.25,113.75,18.375,25.0,253.375,0.08128185618797504
Country Hills,62.5,152.5,23.575,28.75,267.325,0.0858470575722619
Country Hills Village,65.0,181.25,41.625,22.5,310.375,0.09993536722054505
Coventry Hills,260.0,265.0,59.475,105.0,689.475,0.22399757831611158
Cranston,263.75,466.25,68.47500000000001,65.0,863.475,0.28093987515237795
Crescent Heights,195.0,181.25,179.35000000000002,61.25,616.85,0.20023071447856075
Crestmont,30.0,41.25,0.0,3.75,75.0,0.02290782056631405
Currie Barracks,11.25,36.25,18.9,3.75,70.15,0.02132063585564801
Dalhousie,266.25,453.75,100.8,87.5,908.3,0.2956090616793069
Deer Ridge,113.75,146.25,29.6,21.25,310.85,0.10009081314581647
Deer Run,77.5,247.5,39.487500000000004,16.25,380.7375,0.12296181757193465
Diamond Cove,0.0,56.25,0.0,0.0,56.25,0.01677179720033707
Discovery Ridge,67.5,157.5,38.75,11.25,275.0,0.08835873647006848
Douglasdale/Glen,131.25,555.0,50.325,48.75,785.325,0.2553649297629859
Dover,382.5,490.0,173.0,111.25,1156.75,0.3769154619607458
Downtown Commercial Core,525.0,180.0,408.59999999999997,316.25,1429.85,0.46628868762732245
Downtown East Village,161.25,113.75,104.28750000000001,56.25,435.5375,0.14089536852956336
Downtown West End,115.0,103.75,70.53750000000001,40.0,329.2875,0.10612456945569383
Eagle Ridge,0.0,18.75,0.0,0.0,18.75,0.004499750468383117
Eau Claire,47.5,166.25,40.8375,15.0,269.5875,0.08658747105842311
Edgemont,346.25,826.25,77.2375,71.25,1320.9875,0.43066293596446015
Elbow Park,63.75,136.25,5.0625,2.5,207.5625,0.06628950576377128
Elboya,45.0,70.0,32.175000000000004,6.25,153.425,0.048572760965073764
Erin Woods,175.0,151.25,31.587500000000002,51.25,409.0875,0.13223948490129184
Erlton,35.0,40.0,13.512500000000001,8.75,97.2625,0.030193325642850717
Evanston,267.5,237.5,61.975,63.75,630.725,0.2047713717693837
Evergreen,296.25,561.25,75.4875,155.0,1087.9875,0.35441261893658627
Fairview,116.25,140.0,41.075,38.75,336.075,0.10834580991417748
Falconridge,333.75,245.0,69.28750000000001,116.25,764.2875,0.24848031154635972
Forest Heights,211.25,195.0,52.875,78.75,537.875,0.1743857840610657
Forest Lawn,333.75,207.5,193.325,90.0,824.575,0.2682096720090977
Garrison Green,27.5,13.75,21.45,3.75,66.45,0.020109793911428548
Garrison Woods,43.75,108.75,15.3125,6.25,174.0625,0.05532647734989242
Glamorgan,253.75,245.0,141.45,55.0,695.2,0.22587111078385655
Glenbrook,252.5,213.75,122.825,71.25,660.325,0.21445810732313939
Glendale,62.5,120.0,21.875,18.75,223.125,0.07138240515753218
Greenview,76.25,72.5,53.55,30.0,232.3,0.07438496592461691
Greenwood/Greenbriar,52.5,70.0,7.5,8.75,138.75,0.043770300010635775
Hamptons,135.0,410.0,22.662499999999998,21.25,588.9125,0.19108803966325505
Harvest Hills,120.0,262.5,26.1625,41.25,449.9125,0.14559965311014572
Hawkwood,105.0,476.25,25.35,41.25,647.85,0.21037560644364267
Haysboro,168.75,285.0,155.4,78.75,687.9,0.2234821523533695
Hidden Valley,173.75,298.75,38.75,50.0,561.25,0.182035359857317
Highland Park,182.5,767.5,118.56249999999999,62.5,1131.0625,0.36850910994935737
Highwood,51.25,397.5,27.125,12.5,488.375,0.15818668237488648
Hillhurst,161.25,1021.25,115.17500000000001,48.75,1346.425,0.4389874743309689
Hounsfeild Heights/Briar Hill,50.0,128.75,23.6,13.75,216.1,0.0690834417364128
Hungtington Hills,437.5,561.25,174.4875,132.5,1305.7375,0.42567230362679886
Inglewood,121.25,807.5,90.0,16.25,1035.0,0.3370722169043353
Kelvin Groove,45.0,312.5,39.9375,8.75,406.1875,0.1312904466206874
Killarney/Glengarry,196.25,183.75,127.74999999999999,101.25,609.0,0.19766176602933838
Kincora,133.75,165.0,62.12499999999999,28.75,389.625,0.12587029264740773
Kingsland,178.75,142.5,146.25,66.25,533.75,0.17303585892055076
Lake Bonavista,97.5,613.75,33.6,23.75,768.6,0.24989159692053442
Lakeview,111.25,263.75,57.225,16.25,448.475,0.1451292246520875
Legacy,113.75,111.25,49.4,45.0,319.4,0.10288883980070196
Lincoln Park,108.75,72.5,55.0,12.5,248.75,0.0797683037577007
Livingston,35.0,41.25,12.4,16.25,104.9,0.03269273249392534
Lower Mount Royal,116.25,80.0,130.425,41.25,367.925,0.11876886827185039
MacEwan Glen,78.75,216.25,10.200000000000001,16.25,321.45,0.10355971168871544
Mahogany,157.5,242.5,60.5875,33.75,494.3375,0.16013793780526717
Manchester,68.75,6.25,50.825,23.75,149.575,0.04731283083392648
Maple Ridge,36.25,106.25,8.75,0.0,151.25,0.047860982254620425
Marlborough Park,250.0,371.25,83.3125,111.25,815.8125,0.26534210375606443
Martindale,330.0,323.75,62.349999999999994,200.0,916.1,0.2981616473995533
Mayfair,0.0,20.0,0.0,0.0,20.0,0.004908818692781583
Mayland Heights,208.75,227.5,101.2,42.5,579.95,0.18815502049431806
McKenzie Lake,192.5,415.0,28.275000000000002,35.0,670.775,0.21787791767911052
McKenzie Towne,247.5,416.25,123.60000000000001,81.25,868.6,0.2826170548724116
Meadowlark Park,15.0,15.0,5.0,3.75,38.75,0.01104484205875856
Midnapore,140.0,296.25,86.1,37.5,559.85,0.18157720344599074
Millirise,127.5,250.0,52.65,72.5,502.65,0.16285824149751696
Mission,137.5,147.5,167.7875,32.5,485.2875,0.1571762838606223
Monterey Park,211.25,410.0,52.725,75.0,748.975,0.2434692257974785
Montgomery,120.0,123.75,48.75,25.0,317.5,0.1022670560996163
Mount Pleasant,153.75,166.25,91.4375,38.75,450.1875,0.14568964811951338
New Brighton,127.5,141.25,42.75,68.75,380.25,0.12280228096441925
Nolan Hill,111.25,85.0,34.4875,38.75,269.4875,0.08655474560047126
North Glenmore Park ,36.25,117.5,16.1,10.0,179.85,0.05722046322885731
North Haven,50.0,120.0,15.2375,8.75,193.9875,0.061847024846803954
North Haven Upper,7.5,46.25,0.0,6.25,60.0,0.01799900187353247
Oakridge,87.5,347.5,23.25,26.25,484.5,0.15691857087925123
Ogden,270.0,338.75,127.075,71.25,807.075,0.2624827168675192
Palliser,76.25,262.5,80.625,13.75,433.125,0.14010586685647433
Panorama Hills,456.25,615.0,150.9375,140.0,1362.1875,0.44414582464063357
Parkdale,67.5,77.5,31.6,7.5,184.1,0.05861129519181209
Parkhill,45.0,77.5,28.874999999999996,10.0,161.375,0.051174434872247994
Parkland,42.5,255.0,8.7125,5.0,311.2125,0.10020944293089201
Patterson,92.5,233.75,55.8625,33.75,415.8625,0.13445663467753152
Penbrooke Meadows,301.25,276.25,90.8,87.5,755.8,0.24570273830269412
Pineridge,357.5,381.25,122.075,88.75,949.575,0.30911649444894423
Point McKay,32.5,88.75,16.2,3.75,141.2,0.04457207373045676
Pump Hill,37.5,130.0,16.875,3.75,188.125,0.05992849487437515
Queens Park Village,11.25,7.5,16.125,11.25,46.125,0.013458344582709504
Queensland,92.5,165.0,25.35,35.0,317.85,0.10238159520244787
Ramsay,51.25,47.5,37.125,16.25,152.125,0.04814733001169935
Ranchlands,200.0,250.0,65.8125,56.25,572.0625,0.18557379999836374
Red Carpet,73.75,86.25,29.5,21.25,210.75,0.06733262973598737
Redstone,125.0,125.0,46.4,80.0,376.4,0.12154235083327197
Renfrew,137.5,165.0,94.8375,47.5,444.8375,0.14393883611908795
Richmond,105.0,142.5,70.0,36.25,353.75,0.11413003460717179
Rideau Park,10.0,62.5,0.0,0.0,72.5,0.02208968411751712
Riverbend,125.0,362.5,24.65,48.75,560.9,0.18192082075448543
Rocky Ridge,98.75,277.5,42.625,38.75,457.625,0.14812360405468425
Rosedale,23.75,77.5,6.3,5.0,112.55,0.035196230027243945
Rosemont,20.0,53.75,8.924999999999999,6.25,88.925,0.02746484058611295
Rosscarrock,140.0,85.0,79.60000000000001,83.75,388.35,0.1254530430585213
Roxboro,0.0,25.0,0.0,0.0,25.0,0.006545091590375443
Royal Oak,253.75,317.5,70.4125,75.0,716.6625,0.23289481219677818
Rundle,315.0,387.5,57.212500000000006,120.0,879.7125,0.286253671387314
Rutland Park,63.75,117.5,28.7375,13.75,223.7375,0.07158284858748742
Saddle Ridge,466.25,455.0,96.60000000000001,268.75,1286.6,0.41940946911125837
Sage Hill,130.0,152.5,41.324999999999996,42.5,366.325,0.11824526094462035
Sandstone Valley,118.75,316.25,21.599999999999998,42.5,499.1,0.16169648774022533
Scarboro,0.0,33.75,3.8,7.5,45.05,0.013106545909726824
Scarboro-Sunalta West,0.0,16.25,0.0,0.0,16.25,0.0036816140195861866
Scenic Acres,78.75,457.5,28.2,28.75,593.2,0.1924911436729418
Seton,58.75,78.75,90.71249999999999,17.5,245.71249999999998,0.07877426797241244
Shaganappi,52.5,32.5,46.5,27.5,159.0,0.05039720524589091
Shawnee Slopes,55.0,136.25,9.9,18.75,219.9,0.07032700913858414
Shawnessy,170.0,335.0,47.85,111.25,664.1,0.21569349336082272
Sherwood,216.25,127.5,58.425,45.0,447.175,0.14470379369871308
Signal Hill,246.25,758.75,58.5875,73.75,1137.3375,0.3705626324358377
Silver Springs,128.75,477.5,45.75,37.5,689.5,0.22400575968059955
Skyview-Ranch,242.5,183.75,147.15,112.5,685.9,0.22282764319433196
Somerset,146.25,275.0,65.625,107.5,594.375,0.19287566780387633
South Calgary,156.25,93.75,106.2,30.0,386.2,0.12474944571255595
Southview,55.0,77.5,25.5,13.75,171.75,0.054569701134755254
Southwood,168.75,220.0,83.625,92.5,564.875,0.18322165770807256
Springbank Hill,155.0,258.75,58.3,50.0,522.05,0.1692069803401811
Spruce Cliff,225.0,170.0,105.60000000000001,40.0,540.6,0.17527755279025437
St. Andrews Heights,32.5,65.0,29.8125,6.25,133.5625,0.042072666879382145
Strathcona Park,125.0,298.75,15.0,45.0,483.75,0.15667312994461216
Sundance,133.75,380.0,27.125,43.75,584.625,0.1896849356535683
Sunnyside,130.0,91.25,158.925,61.25,441.425,0.14282207986648013
Sunalta ,143.75,35.0,140.4,77.5,396.65,0.1281692560685271
Taradale,401.25,337.5,86.025,238.75,1063.525,0.34640715378510833
Temple,301.25,377.5,72.67500000000001,97.5,848.925,0.27617832102037976
Thornecliff,287.5,355.0,126.22500000000001,76.25,844.975,0.2748856654312806
Tuscany,272.5,408.75,58.0,111.25,850.5,0.2766937469831219
Tuxedo Park,135.0,160.0,99.0,53.75,447.75,0.14489196508193636
University Heights,135.0,101.25,110.25,32.5,379.0,0.12239321274002078
Upper Mount Royal,56.25,105.0,33.8625,5.0,200.1125,0.06385145914635644
Valley Ridge,70.0,228.75,12.600000000000001,11.25,322.6,0.10393605445516205
Varsity,360.0,711.25,219.8375,77.5,1368.5875,0.44624025394955374
Walden,112.5,116.25,60.599999999999994,45.0,334.35,0.10778129576450761
West Hillhurst,126.25,221.25,85.85000000000001,28.75,462.1,0.14958806829803076
West Springs,171.25,215.0,45.0,52.5,483.75,0.15667312994461216
Westgate,72.5,145.0,27.912499999999998,26.25,271.6625,0.08726652431092459
Whitehorn,271.25,403.75,63.4375,150.0,888.4375,0.28910896759361526
Wildwood,28.75,120.0,15.2,11.25,175.2,0.05569872943409502
Willow Park,115.0,285.0,34.125,26.25,460.375,0.14902355414836088
Windsor Park,152.5,173.75,138.75,57.5,522.5,0.1693542449009646
Winston Heights/Mountainview,85.0,123.75,57.800000000000004,33.75,300.3,0.09663827733189342
Wolf Willow,0.0,2.5,0.0,2.5,5.0,0.0
Woodbine,141.25,436.25,30.15,31.25,638.9,0.20744667795694965
Woodlands,133.75,307.5,54.45,33.75,529.45,0.17162866422862008
Yorkville,0.0,12.5,0.0,11.25,23.75,0.006136023365976978
